Dateiname,Titel,Videos,Beschreibung,Links,,,,,,
PW_W04_L01_Reflexion,🧭 Reflexion - Lebenskompass,https://iframe.mediadelivery.net/play/457384/48ea8c11-bd5b-4453-a813-7020a431551f,"In diesem Reflexionsvideo vertiefst du dein Verständnis des Lebenskompass-Konzepts anhand von vier zentralen Fragen, die dir helfen, das Gelernte zu festigen und praktisch anzuwenden. 🥜 Zusammengefasst Dieses Video führt dich durch eine strukturierte Reflexion mit vier Kernfragen: Die Hauptfunktion des Lebenskompass als flexibles Navigationssystem Der Unterschied zwischen Grabredenperspektive und klassischem Fünf-Jahres-Plan Ein praktisches Fallbeispiel zur Integration persönlicher Leidenschaften Konkrete Umsetzungsschritte, um dein Leben mit deinen Werten in Einklang zu bringen ❓ Vier zentrale Fragen zur Reflexion Frage 1: Die Hauptfunktion des Lebenskompass Der Lebenskompass ist kein starres Regelwerk, sondern ein flexibles inneres Navigationssystem, das auf deinen individuellen Werten und Zielen basiert. Er hilft dir, authentische Entscheidungen zu treffen, die zu dir passen – auch wenn sich die äußeren Umstände verändern. Frage 2: Grabrede vs. Fünf-Jahres-Plan Während ein Fünf-Jahres-Plan karriere- und zielorientiert ist, bietet die Grabrede eine lebensspannende Perspektive. Die Kernfrage verschiebt sich von ""Was will ich erreichen?"" zu ""Wer will ich gewesen sein?"". Dabei zeigt sich oft, dass berufliche Erfolge in der langfristigen Vision weniger Bedeutung haben als Beziehungen und der positive Einfluss auf andere. Frage 3: Praktisches Fallbeispiel mit Maria Maria liebt es, mit Kindern kreativ zu arbeiten, ist aber als Buchhalterin tätig. Statt ihren Job sofort zu kündigen, könnte sie: Kreativkurse für Kinder in ihrer Freizeit anbieten (2-3 Stunden pro Woche) Finanzworkshops für Kinder in ihrer Firma entwickeln Ihre beruflichen Fähigkeiten mit ihrer Leidenschaft verbinden Diese Herangehensweise bietet finanzielle Sicherheit und die Möglichkeit, die nächsten Schritte ohne Risiko zu evaluieren. Frage 4: Erkenntnisse zur konkreten Umsetzung Statt alles auf einmal ändern zu wollen, sind kleine, kontinuierliche Schritte effektiver: Wöchentliches Planungsritual (30 Minuten): Drei Prioritäten setzen, die dich deiner Vision näherbringen Fokus-Stunden fest im Kalender einplanen Das Morgenmanifest nutzen, um jeden Tag an deinen Werten auszurichten 👉 Ausblick Das Video schließt mit einem Ausblick auf Woche 4: ""Dein produktiver Tag"" – wie du deine Lebensvision in alltägliches Handeln umsetzen kannst.",,,,,,,
PW_W04_L02_Protokoll_Tag,📆 Dein Protokoll für einen produktiven Tag,https://iframe.mediadelivery.net/play/457384/bce2cb3f-fc91-46fc-a144-4a5cef17627a,"Produktive Tage Dokument (Word) 🧑_✈️ Produktive Tage Dokument [öffentlich] 3.73 MiB Produktive Tage Dokument (Google Docs) 📆 Einführung in dein Protokoll für einen produktiven Tag Hattest du jemals das Gefühl, dass deine Tage dich beherrschen, anstatt dass du deine Tage beherrschst? Wechsle von reaktiv zu proaktiv, indem du den Tag planst, dich konzentrierst und abends eine Routine zum Abschalten einführst, um deinem idealen Leben einen bedeutenden Schritt näher zu kommen. 🥜 Zusammenfassung Das Protokoll für einen produktiven Tag besteht aus drei Komponenten: Das Morgen-Manifest: Ein 5-minütiger Check-in, um den Tag zu beginnen Fokus-Stunden: 3–5 Blöcke intensiver Arbeit Abendliches Abschalten: Schalte den „Arbeitsmodus"" aus und den „Lebensmodus"" ein Ergebnis: Tiefgründige Arbeit, die dich deinen Zielen näher bringt 🧠 Dein Protokoll für einen produktiven Tag Plane und bereite dich auf deine idealen, realistischen und produktivsten Tage vor. Bei einem produktiven Tag geht es darum, von reaktiv zu proaktiv zu wechseln. Reaktiv ist, wenn du auf alles reagierst, was auf dich zukommt: wenn du in Slack angepiept wirst, E-Mails bekommst, Aufgaben zugewiesen bekommst und dich mit unendlich vielen Admin Aufgaben beschäftigst. Du reagierst einfach auf das, was auf dich zukommt. Während einige Jobs von Natur aus reaktiv sind (Fluglotsen), könnten die meisten von uns an ihren Tagen proaktiver sein, um bedeutende Fortschritte bei ihren wichtigsten Prioritäten zu erzielen. Ein produktiver Tag beginnt mit dem Morgen-Manifest, um unsere Absichten festzulegen und uns auf unseren Tag vorzubereiten. Dann blockieren wir etwa vier Stunden am Tag für tiefgehende, konzentrierte Arbeit. Am Ende des Arbeitstages schließen wir mit einem Abendlichen Abschalten ab, um eine klare Grenze zwischen Arbeit und Privatleben zu ziehen. ⁉️Häufig gestellte Fragen ❓Warum steht unter „Fokusstunden"" acht Stunden? Die meisten Arbeitstage dauern etwa acht Stunden, aber die meisten Menschen arbeiten an einem Arbeitstag nicht acht Stunden lang konzentriert. Es gibt viel Verwaltungsarbeit und Besprechungen, die nicht als konzentrierte Stunden zählen. ❓Ich bin Therapeut und führe sieben Sitzungen durch. Muss ich dann noch vier zusätzliche konzentrierte Stunden einhalten? Super! Darüber hinaus musst du keine weiteren Fokusstunden leisten. Du bist bereits sieben Stunden lang als Therapeutin konzentriert.",https://docs.google.com/document/d/1jNuy9uE_QzUStfE-NLe9n0BYbVDToJkMVc89bAZSIno/edit?tab=t.0,,,,,,
PW_W04_L03_Idealer_Dienstag,💫 Dein idealer Dienstag,https://iframe.mediadelivery.net/play/457384/7b4fa184-fcad-46c2-a63a-3b4eb1e43b84,"Produktive Tage Dokument (Word) 🧑_✈️ Produktive Tage Dokument [öffentlich] 3.73 MiB Produktive Tage Dokument (Google Docs) 💫 Dein idealer Dienstag Dein Leben besteht aus einer Reihe gewöhnlicher Dienstage. Überlege dir, wie dein idealer Dienstag aussieht. Denn wenn du einen großartigen Dienstag haben kannst, wirst du wahrscheinlich ein großartiges Leben haben. - Tim Urban Wie würde dein glücklichster, produktivster und ausgeglichenster Dienstag aussehen? Wie würde dein Tagesablauf an diesem Tag aussehen? 💡Übung: Erstelle deinen idealen Dienstag (3 Minuten) Stelle dir deinen idealen Dienstag vor. Stelle dir vor, es gäbe keine Unterbrechungen und der Tag verliefe genau wie geplant. Überlege: Um wie viel Uhr wachst du auf? Wie sieht deine morgendliche Routine aus? Welche Art von Arbeit erledigst du morgens? Wann machst du Mittagspause? Welche Erholungsphasen planst du in deinen Tag ein? Wann bist du mit der Arbeit für den Tag fertig? Wann machst du dich bettfertig? So hast du einen Fixpunkt, an dem du deine Arbeitstage ausrichten kannst, auch wenn nicht jeder Tag perfekt dazu passt. Beispiel: Lukas idealer Dienstag (Selbständig) 🌅 06:30 - Natürliches Aufwachen, Morgen-Manifest + Stretching Ich wache ohne Wecker auf und freue mich, den Tag zu starten Ich nehme meine Supplemente ein, trinke einen Proteinshake und esse eine Banane und einen Apfel Danach gehe ich auf den Balkon, strecke mich und schreibe mein Morgen-Manifest. 🌞 07:30 - 11:30 Uhr - Deepwork an meinem Highlight Ich arbeite von zu Hause und wechsle mich ab zwischen Sitzen und Stehen, während ich auf meinem Walkingpad gehe. Ich arbeite an meiner einen wichtigsten Aufgabe des Tages, ohne mein Handy einzuschalten. 🥗 12:00 - 14:00 - Mittagessen, Sport + Mini Admin Party Ich koche etwas Leckeres und Leichtes mit meiner Freundin und wir setzen uns zum Essen auf den Balkon. Danach lege ich mich für 10 Minuten aufs Ohr und mache einen kurzen Lauf oder Spaziergang im Park. Anschließend mache ich mir einen Kaffee und arbeite wie ein Produktivitäts-Roboter drei konkrete administrative Aufgaben ab, welche ich vorher definiert habe. (ohne nachzudenken, einfach schnell erledigen) ⏰ 14:00 - 18:00 Uhr - Deepwork Block Nr. 2 oder Teamwork Ich habe bereits mein Ziel erreicht und 3 Stunden Deepwork für den Tag gemacht. Nun ist alles Weitere ein BONUS. Das heißt, ich arbeite an meinen Unisachen, gebe Einzelcoachings, arbeite an meinen Kursen, die Produktivitäts-Werkstatt oder Produktiv mit KI. 🌆 19:00 Uhr - Abendliches Abschalten Arbeitszeit ist vorbei, und egal wie der Tag gelaufen ist, starte ich hier mit meiner Routine meinen Kalender zu aktualisieren, aktualisiere meine Aufgaben- und Projektliste, und räume meinen Arbeitsplatz auf, sodass ich morgen wieder voll durchstarten kann. Jetzt verbringe ich Zeit mit mir selbst, meiner Freundin oder Freunden und koche etwas, lese, gehe etwas essen, oder lasse den Abend einfach entspannt vor dem Fernseher mit einer Folge ""The Office"" ausklingen. 🌙 22:00 Uhr - Lichter aus + Schlafen Ich mache mich bettfertig, meditiere, und schreibe noch ein paar Sätze in mein 6-Minuten-Tagebuch. Ich bin zufrieden mit dem heutigen Tag, denke an besondere Momente und freue mich auf morgen. ⁉️Häufig gestellte Fragen ❓Ich habe Kinder und einen Vollzeitjob. Wie kann ich da einen „idealen"" Tag planen? Beim „Ideal Tuesday"" geht es nicht darum, jeden Tag perfekt zu gestalten. Es geht darum, einen Fixstern zu haben, auf den man hinarbeitet. Selbst wenn du nur kleine Teile deines idealen Tages umsetzt (z. B. eine morgendliche Routine, bevor die Kinder aufwachen), kann das einen Unterschied machen. Wenn man Kinder hat und angestellt ist, anstatt Unternehmer zu sein, ist es schwieriger, eine ideale Woche zu planen, aber es ist nicht schwieriger, sie zu definieren. ❓Was ist, wenn jeder Dienstag aufgrund meines Arbeitsplans anders aussieht? Das ist völlig normal. Es geht nicht darum, dass jeder Dienstag identisch ist, sondern darum, eine Vorlage dafür zu haben, wie du deine Zeit strukturieren möchtest, wenn du kannst. Die Fokusblöcke können unterschiedliche Arbeiten beinhalten, aber der Tagesrhythmus kann ähnlich bleiben. ❓Bereite ich mich damit nicht nur auf eine Enttäuschung vor, wenn die Realität nicht mit dem Plan übereinstimmt? Stell es dir wie ein GPS vor. Selbst wenn du Umwege machst, hilft dir eine Route, dich zu orientieren. Das Ziel ist nicht Perfektion, sondern Fortschritt. An manchen Tagen erreichst du vielleicht 20 % deines idealen Tages, an anderen 80 %. Beides sind Erfolge.",https://docs.google.com/document/d/1jNuy9uE_QzUStfE-NLe9n0BYbVDToJkMVc89bAZSIno/edit?tab=t.0,,,,,,
PW_W04_L04_Morgen_Manifest,☀️ Dein Morgen-Manifest,https://iframe.mediadelivery.net/play/457384/a6841ffe-b464-496b-9e64-36ae0f13d10e,"Produktive Tage Dokument (Word) 🧑_✈️ Produktive Tage Dokument [öffentlich] 3.73 MiB Produktive Tage Dokument (Google Docs) ☀️ Dein Morgen-Manifest Primen – Ich nimm mir einen Moment der Dankbarkeit und Freude 🫶 Ich bin dankbar für … Planen – Ich richte meinen Fokus auf meine Prioritäten und Ziele aus 🎯 Was sind meine 3 Wochenziele? Wie «läuft» es auf dem Weg dorthin? 🔦 Was ist mein heutiges Highlight? Steht es im Kalender? Organisieren – Ich organisiere mich um Überforderung zu vermeiden 🌞 So sorge ich für einen guten Tag … 🎉 Wann ist heute meine Mini-Admin-Party? Steht es im Kalender? 💡Übung: Erstelle dein eigenes Morgen-Manifest (3 Minuten) Welche 1-3 Fragen wirst du dir jeden Morgen unter jeder dieser Kategorien stellen? Primen Planen Organisieren 🔥Heißer Tipp: Gib deine Morgen-Manifeste in ChatGPT oder Claude ein, um daraus Erkenntnisse zu gewinnen ⁉️Häufig gestellte Fragen ❓Was ist „tägliche Highlight""? Die meisten Menschen würden es als ihre wichtigste Aufgabe (MIT = Most Important Task) für den Tag bezeichnen. Im Stil von dem Buch Mehr Zeit: Wie man sich auf das Wichtigste konzentriert von Jake Knapp und John Zeratsky nenne ich es ein „Highlight"". Es wird deshalb „Highlight"" genannt, weil es wie ein Höhepunkt aus dem Alltagsrauschen hervorstechen und am Ende des Tages das sein soll, worauf du mit Zufriedenheit zurückblickst. Dein Highlight ist die eine wichtige Sache, die du heute erreichen willst. Die eine Sache die dich deinen Zielen näher bringt. ❓Was ist eine „Mini-Admin-Party""? Das ist ein 30-minütiger Kalenderblock, in dem ich langweilige Adminaufgaben stapelweise erledige, aber ich gebe ihm ein 🥳-Emoji, damit es Spaß macht. Ich trage es in den Kalender ein. Wenn es soweit ist, stelle ich mir vor, es sei eine Party, und mache gute Musik an. Manchmal gehe ich in ein Café und gönne mir einen leckeren Chai Latte oder etwas anderes, setze meine Kopfhörer auf und versuche, in diesen 30 Minuten meine Adminarbeit zu erledigen. ❓Was ist die Aufgaben- und Projektliste? Das ist mein bewährtes System, um all meine Aufgaben und laufenden Projekte im Auge zu behalten. Wie David Allen sagt: „Dein Verstand ist dafür da, Ideen zu haben, nicht, sie festzuhalten."" Wenn ich deinem System zu 100 % vertrauen kann, kann ich mich besser konzentrieren, weil ich mir keine Sorgen machen muss, etwas Wichtiges zu vergessen. Wir werden uns ausführlich mit dem Thema Projekte und Aufgaben bei den Quartals-Missionen und Woche 8 - Organisieren beschäftigen. ❓Was ist eine Nebenmission? Nebenmissionen sind sekundäre Prioritäten, die du nach deinem Highlight erledigen möchtest. Stell sie dir wie optionale Missionen in einem Videospiel vor. Während dein Highlight das Einzige ist, was du heute tun musst, sind Nebenmissionen zusätzliche Aufgaben, die du gerne erledigen würdest, wenn du Zeit und Energie hast. ❓Ich fühle mich bereits überfordert. Wie kann ich da noch eine weitere morgendliche Aufgabe hinzufügen? Wenn du überfordert bist, brauchst du das Morgen-Manifest. Es dauert nur 5 Minuten und reduziert die Überforderung tatsächlich, indem es alles aus deinem Kopf in ein System bringt. Wenn sich das Leben chaotisch anfühlt, hilft dir diese Praxis, auf dem Boden zu bleiben. ❓Was ist, wenn ich vergesse, es zu tun, oder es nicht konsequent durchhalte? Fange klein an. Zweimal pro Woche ist besser als gar nicht. Halte es anfangs ganz einfach, vielleicht nur: „Was ist heute meine wichtigste Aufgabe?"" Mach es so einfach, dass du nicht nein sagen kannst. ❓Muss ich es wirklich aufschreiben? Kann ich nicht einfach daran denken? Wenn du es aufschreibst, wird es real und verschwindet aus deinem Kopf. Dein Gehirn ist dafür da, Ideen zu haben, nicht, sie festzuhalten. Wenn du Dinge aufschreibst, schaffst du mentalen Freiraum und machst deine Absichten konkret.","https://www.amazon.de/Mehr-Zeit-sich-Wichtigste-konzentriert/dp/386881731X?crid=3I1K6R04HU282&dib=eyJ2IjoiMSJ9.6HgiokhJPFSsi-GcJ7lyl4-2l3a77ah_6JGY2RKQhv8R0szYIpU1oCk3qBfH9HUS.GcBWdvasbXT3bT-3RPtkajX8xYbvChXjV7sep-J9eFo&dib_tag=se&keywords=jake+knapp+mehr+zeit&qid=1741598770&sprefix=mehr+zeit+jake+,aps,93&sr=8-1&linkCode=sl1&tag=zangerlcoachi-21&linkId=0393cd911e84c5ee1eddc75714a6d1cd&language=de_DE&ref_=as_li_ss_tl",https://docs.google.com/document/d/1jNuy9uE_QzUStfE-NLe9n0BYbVDToJkMVc89bAZSIno/edit?tab=t.0,,,,,
PW_W04_L05_Fokuszeit,⏳Fokuszeit,https://iframe.mediadelivery.net/play/457384/73977390-1b44-4248-a9e0-ad1ef8ea4789,"📕Buch: Pause: Tue weniger, erreiche mehr von Alex Soojung-Kim Pang ⏳ Fokuszeit Mathematiker G. H. Hardy: ""Vier Stunden kreative Arbeit pro Tag sind für einen Mathematiker das Limit."" John Edensor Littlewood: ""Die hohe Konzentration, die für ernsthafte Arbeit erforderlich ist, bedeutet, dass ein Mathematiker vier oder höchstens fünf Stunden am Tag arbeiten kann, mit Pausen etwa jede Stunde (vielleicht für Spaziergänge)."" Paul Halmos: ""Ich habe anscheinend nur für drei oder vier Stunden Arbeit, 'richtige Arbeit', pro Tag psychische Energie."" Henri Poincaré: War zwischen 10 und 12 Uhr und erneut zwischen 17 und 19 Uhr am produktivsten. Schriftsteller Anthony Trollope: ""Alle, die als Literaten gelebt haben – und täglich als literarische Arbeiter gearbeitet haben – werden mir zustimmen, dass drei Stunden pro Tag ausreichen, um so viel zu schreiben, wie man schreiben sollte."" W. Somerset Maugham: Arbeitete ""nur vier Stunden"" pro Tag, bis 13:00 Uhr – ""aber nie weniger"", fügte er hinzu. Peter Carey: ""Ich denke, drei Stunden sind in Ordnung"" für einen Arbeitstag. Stephen King: Beschreibt vier bis sechs Stunden Lesen und Schreiben als einen ""anstrengenden"" Tag. Gabriel García Márquez: Schrieb jeden Tag fünf Stunden lang. Charles Dickens: Schloss sich von neun bis zwei in seinem Arbeitszimmer ein, mit einer Mittagspause – nach fünf Stunden war sein Arbeitstag beendet. J. G. Ballard: ""Zwei Stunden am späten Vormittag, zwei am frühen Nachmittag, gefolgt von einem Spaziergang am Fluss entlang, um über den nächsten Tag nachzudenken."" Andere Kreative Laura Schellhardt (Dramatikerin): Rät Schriftstellern, ""drei oder vier Stunden pro Tag, vier oder fünf Tage die Woche, in einem Raum mit deinem Computer, deinen Figuren und deiner Handlung zu verbringen."" Wissenschaftler William Osler (Arzt): Empfahl seinen Studenten, ""vier oder fünf Stunden täglich"" zu arbeiten, solange es sich um Stunden handelte, die ""intensiv auf das jeweilige Thema ausgerichtet"" waren. Raymond Van Zelst und Willard Kerr: Ihre Studie zeigte, dass Wissenschaftler, die 10-20 Stunden pro Woche im Labor verbrachten, produktiver waren als diejenigen, die 35 oder mehr Stunden arbeiteten. 🎯Wie viel solltest du täglich fokussiert arbeiten? 3 Stunden pro Tag = Du bist 90 % der Menschen voraus 4 Stunden pro Tag = Du bist 95 % der Menschen voraus 5 Stunden pro Tag = Du bist 99 % der Menschen voraus ☝️ Zur Erinnerung: Konzentration ist ein Muskel, der sich mit der Zeit und durch die Verwendung von Systemen, die auf deine Bedürfnisse zugeschnitten sind, aufbaut. Weitere Ressourcen findest du unter der Formel für die Fokusstunde. ⁉️Häufig gestellte Fragen ❓Wie viel sollten wir wirklich jeden Tag arbeiten? Wir sollten uns täglich 3 bis 5 Stunden echter konzentrierter Arbeit widmen. Damit sind keine Meetings, das Abrufen von E-Mails oder Slack-Nachrichten gemeint. Gemeint ist echte, tiefgehende Arbeit, bei der du etwas erschaffst oder Probleme löst.","https://www.amazon.de/Pause-Tue-weniger-erreiche-mehr/dp/3442342228?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.tE_33o3ZpKGez9nMBVXBEs9aKEYlq2OTtxe4g6jIvC5gcom1CKVohnbLiyHRsxTjLTMsIVs-9geEkSpWjszVSNwtvnrSZXlwO9VL-xOEWiH_-KUJTN7YMx4Nx0-Rv0UwS9zyyEFQcDzXSHlO-4wXKV4fYsAxLx0OlkK5awz0i6sJOAb0N-FqivMvwWJ0HcbA.tg5TIntrVFORDaWsFcVaeAy1EU2xHvAFixJta0xl2n8&dib_tag=se&keywords=Pause:+Tue+weniger,+erreiche+mehr&qid=1741602034&sr=8-1&linkCode=sl1&tag=zangerlcoachi-21&linkId=bca61bdb78b86fe30298db6f4f31e56b&language=de_DE&ref_=as_li_ss_tl",,,,,,
PW_W04_L06_Abendliches_Abschalten,🌙 Dein Abendliches Abschalten,https://iframe.mediadelivery.net/play/457384/853686f1-f265-4fa7-b620-ba5249de76fc,"Der ideale Dienstag Dokument (Google Docs) 🌙 Dein Abendliches Abschalten Das Abendliche Abschalten ist eine kurze Auszeit am Ende des Arbeitstags, in der du den „Arbeitsmodus"" ausschaltest und den „Lebensmodus"" einschaltest. Diese Idee stammt von Cal Newport, der schon seit Ewigkeiten darüber schreibt (und dessen Arbeit ich absolut liebe). Ich fange gerade erst an, dies selbst umzusetzen, aber die Kraft des Abend-Shutdowns liegt darin, dass er eine klare Grenze zwischen Arbeit und Privatleben schafft. 🌙 Der „Abend-Shutdown"" ist ein 5-minütiges Ritual mit drei Komponenten: Organisieren: Aktualisiere deine Aufgaben- und Projektliste (mehr dazu in Modul 8 - Organisieren) Planen: Trage deine morgigen Prioritäten in deinen Kalender ein Reflektieren: Reflektiere über deinen Tag Abendliches Abschalten - Beispiel von Lukas Organisieren ✅ Habe ich meine Aufgaben- und Projektliste aktualisiert? 🗓️ Habe ich meinen Kalender nach dem Ist-Zustand aktualisiert? Planen 🔦 Was ist mein morgiges Highlight? Stehen es im Kalender? 🔥 Was sind meine zwei Nebenmissionen für morgen? Stehen sie im Kalender? Reflektieren ♥️ Was habe ich heute Gutes für jemanden getan? 💡 Was habe ich heute gelernt? 🌍 Tolle Dinge die ich heute erlebt habe ... 💡Übung: Erstelle deine eigene Abschaltroutine (3 Minuten) Welche 1–3 Fragen wirst du dir am Ende des Arbeitstages in jeder dieser Kategorien stellen? Organisieren Planen Reflektieren ⁉️Häufig gestellte Fragen ❓Was ist, wenn ich manchmal abends arbeiten muss? Das ist in Ordnung. Die Abendabschaltung kann flexibel sein. Selbst an späten Arbeitsabenden ist es wertvoll, sich 5 Minuten Zeit zu nehmen, um seine Aufgaben zu organisieren und in den „Lebensmodus"" zu wechseln. Der Schlüssel ist, eine Art Grenze zu haben, auch wenn sie nicht jeden Tag zur gleichen Zeit ist. ❓Ich bin am Ende des Tages zu müde, um noch eine Routine zu machen. Halte es ganz einfach. Vielleicht nur drei kurze Fragen: Was ist heute gut gelaufen? Was muss morgen erledigt werden? Was kann ich heute Abend tun, um neue Energie zu tanken? Je einfacher es ist, desto wahrscheinlicher ist es, dass du es machst. ❓Meine Arbeit fühlt sich nie „erledigt"" an. Wie kann ich abschalten? Das Ziel ist nicht, alles zu beenden. Es geht darum, Klarheit darüber zu haben, was noch in Arbeit ist. Wenn du deine Aufgabenliste aktualisierst und die Prioritäten für morgen festlegst, kannst du sicher sein, dass nichts übersehen wird, auch wenn die Arbeit noch nicht abgeschlossen ist.",https://docs.google.com/document/d/10NHG84BA923BLZRGIF8NKB4KgzmGo4fxX77kPgfJE5U/edit?tab=t.0,,,,,,
PW_W04_L07_Experiment_W4,🧪 Experiment Woche 4: Morgen Manifest und idealer Dienstag,,,,,,,,,
PW_W04_L08_Feedback,🌞 Produktive Tage - Feedback [BADGE VERFÜGBAR],,"Ich bin immer auf der Suche nach Möglichkeiten, die Produktivitäts-Werkstatt zu verbessern, daher würde ich mich sehr über Dein Feedback zu diesem Modul freuen 🙏",,,,,,,
PW_W05_L01_Reflexion,🌞 Reflexion - Produktive Tage,https://iframe.mediadelivery.net/play/457384/11c52954-1a0f-4d4a-b50e-7b46a3e7b25e,"Dieses Video bildet den Übergang zwischen dem Konzept der produktiven Tage und der neuen Thematik der Zukunftsskizze. 🔍 Reflexionsphase: Erkenntnisse aus Woche 4. Die zwei wesentlichen Erkenntnisse aus der vorherigen Woche sind: 📝 Morgenmanifest etablieren: Tägliche Fokussierung auf Ziele, Gedankenordnung und klare Tagesplanung. 🗓️ Produktivitätsfahrplan entwickeln: Strukturierter Tagesablauf, der prioritäre Aufgaben mit Erholungsphasen verbindet. 📋 Bestandteile des Produktive-Tage-Protokolls: Morgenmanifest: Tägliche Ausrichtung am Morgen. Abendreflexion: Rückblick und Vorbereitung. Fokusarbeit: Integration konzentrierter Arbeitsphasen. Strategische Pausen: Bewusste Erholungsphasen. ⭐ Bedeutung des Morgenmanifests: Das Morgenmanifest strukturiert sich durch: Mentale Einstimmung auf den Tag. Festlegung eines Tages-Highlights (365 wichtige Errungenschaften pro Jahr). Anbindung an die wöchentlichen Ziele. Organisation zur Vermeidung von Überforderung. Integration von Dankbarkeit, Prioritätenfokus und administrativen Zeitfenstern. 🔄 Work-Life-Balance Strategien: Integration privater Projekte im Morgenmanifest. Anwendung der Fokusformel auch nach der Arbeit (25-Minuten-Einheiten). Implementierung eines abendlichen Abschaltritual mit digitalem Shutdown. Anwendung des SD8-Frameworks (Schedule 3 Tasks for tomorrow, Electronic shutdown, 8 hours sleep). How to Be More Productive (While Working Less).",,,,,,,
PW_W05_L02_Zukunftsskizze_Ueberblick,🎨 Zukunftsskizze Überblick,https://iframe.mediadelivery.net/play/457384/003cc5fd-1ac2-4beb-998c-203d105180b9,"Erstelle eine überzeugende Vision, die deine Zukunft in drei Jahren im Einklang mit deinem Lebenskompass darstellt. Indem du deine Richtung festlegst, kannst du effektivere Schritte unternehmen, um deine Meilensteine zu erreichen. 🥜 In Kürze. Die Zukunftsskizze besteht aus drei Schlüsselkomponenten: Odyssee-Plan: Erkunde verschiedene Lebensrichtungen, um neue Möglichkeiten kennenzulernen. 3-Jahres-Traum: Visualisiere dein ideales Leben in drei Jahren. Vision Board: Erstellung einer visuellen Darstellung deines Traumlebens. Ergebnis: Klarheit darüber, wohin du gehst und was du jetzt priorisieren solltest. 🎨 Zukunftsskizze: Visualisierung der nächsten 3 Jahre. In deiner Zukunftsskizee wird deine langfristige Vision näher betrachtet. Es geht darum, sich in lebhaften Details vorzustellen, wie dein Leben in drei Jahren aussehen könnte. Damit deine Träume dich stark beeinflussen und die Zukunft dich mitreißen kann, muss deine Zukunft gut geplant sein. Es gibt zwei Möglichkeiten, der Zukunft entgegenzutreten – die eine ist mit Besorgnis, die andere mit Vorfreude. Viele Menschen sehen der Zukunft mit Besorgnis entgegen. Warum? Sie haben sie nicht gut durchdacht; und ohne wirklich darüber nachzudenken, haben sie sich wahrscheinlich die Sichtweise eines anderen auf das Leben zu eigen gemacht. - Jim Rohn, The Art of Exceptional Living. Wir versuchen, unseren eigenen Lebensstil zu entwickeln. Wir versuchen, unsere eigene Karte zu erstellen, um ungefähr zu bestimmen, wohin wir im Laufe unseres Lebens gehen möchten. ⁉️F&A. ❓Aber das Leben verläuft nicht nach Plan! Es gibt all diese Zitate wie: „Kein Plan überlebt den ersten Kontakt mit dem Feind“ und „Jeder hat einen Plan, bis ihm ins Gesicht geschlagen wird“. Alles kann passieren. Wir wissen nie, wann uns das Leben ins Gesicht schlägt, aber zumindest bis es so weit ist, können wir einen vernünftigen Plan haben. ✍🏻 Warum für die nächsten 3 Jahre planen? Es ist sehr schwierig, 10 Jahre in die Zukunft zu denken. Wer weiß schon wie die Welt und unser Leben in 10 Jahren aussehen wird? Aber du kannst dir wahrscheinlich vorstellen, was sich in drei Jahren in deinem Leben ändern könnte. Das ist etwas einfacher vorstellbar als in fünf oder zehn Jahren. Drei Jahre sind die Obergrenze dessen, wie weit die meisten Menschen ihr Leben realistisch vorhersehen können, bevor sich die Dinge wirklich ändern. Ein Zeithorizont von drei Jahren bietet Raum für Wachstum und bleibt gleichzeitig realistisch. Schließt die Lücke zwischen deinem Lebenskompass (langfristige Vision) und Quartals-Missionen (kurzfristige Ziele). Ein klares Ziel hält dich inspiriert und fokussiert. Wenn du weißt, was dir mittelfristig am wichtigsten ist, weißt du auch, was jetzt Priorität hat. Es gibt verschiedene Übungen, die uns dabei helfen, uns vorzustellen, wie unser Leben in drei Jahren aussehen soll. Wir werden sie in den kommenden Videos gemeinsam durchgehen.",https://docs.google.com/document/d/15gePdTryNlOZD9gwurlVj4nkfRhTVp1-56Vw9ePAct4/edit?tab=t.0,https://markmanson.net/how-to-be-more-productive,,,,,
